lambda,train_error,test_error,instability
0.0,4.476234731288417e-25,32811.49185150029,278.4648146928326
0.001,0.0005220894159427406,4982.747211921035,18.24238270954302
0.0018873918221350976,0.0018191408397613678,4937.830577596366,18.04279091095663
0.003562247890262444,0.006221826409092193,4856.092105369242,17.682069224363598
0.006723357536499335,0.020594866782931858,4711.671724202468,17.0470016943057
0.01268961003167922,0.0645359255950745,4468.957136479923,16.00259634116666
0.02395026619987486,0.18571953527358195,4092.4687255868703,14.418992951447718
0.04520353656360243,0.4741011783465483,3574.4354172010903,12.326761761052126
0.08531678524172806,1.0430935151835248,2968.8725021474097,9.993304450603024
0.16102620275609392,1.9660824925091813,2382.094399835139,7.80404733610004
0.3039195382313198,3.2860640253826063,1896.1988825033202,5.885786640699735
0.5736152510448681,5.25336022723153,1516.6843788699396,4.572302822466141
1.0826367338740541,8.756234570829264,1207.8205469109132,3.7568674214304267
2.0433597178569416,15.889614311454281,948.1295236302143,3.236215848130717
3.856620421163472,30.942969002184128,742.9993119658342,2.818527786354529
7.278953843983146,62.41190637774637,607.9869738993087,2.485501112176868
13.738237958832638,125.11736973082931,557.0674905319227,2.1674786308135965
25.92943797404667,237.68752687314486,594.9388765589621,1.8467866535830784
48.93900918477489,410.6870714319225,707.1549871995227,1.4889184891361893
92.36708571873865,632.2529838757573,860.5612815281884,1.141668550709531
174.33288221999874,867.913004343099,1017.7151390750919,0.871981854124444
329.0344562312671,1077.8221963537485,1150.7960996050272,0.7022952077829147
621.0169418915616,1237.2182539863898,1247.7464044459136,0.6481691752985239
1172.1022975334793,1343.5768745509022,1310.5784038629351,0.6517514038876329
2212.21629107045,1408.277579707498,1348.0946722757735,0.6583349087047549
4175.3189365604,1445.3686317373415,1369.3639602441228,0.6620458980820758
7880.462815669905,1465.895332099093,1381.060621944869,0.6640820722657946
14873.521072935118,1477.0309269254449,1387.3839558983798,0.6651817868978469
28072.162039411756,1483.006156484954,1390.7706026603882,0.6657705104102264
52983.16906283702,1486.1934947781892,1392.57530407033,0.666084166245671
100000.0,1487.888328597516,1393.5344192326204,0.6662508417015991
